house_domain,lot_id,title,uf,lot_url,item_type_normalized,designer,attribution_strength,condition_tier,size_class,current_bid_brl,bid_count,est_resale_base,est_gross_margin_pct,signal,signal_reasons
castrolealleiloes.com.br,31313433,LOTE RETIRADO.,,https://castrolealleiloes.com.br/peca.asp?Id=31313433,outro,,NONE,none,medium,0.0,0,59.4,-9.0,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
bardileiloes.com.br,31470280,LOTE RETIRADO,SP,https://bardileiloes.com.br/peca.asp?Id=31470280,outro,,NONE,none,medium,1.0,0,59.4,-9.0389,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
tremdas7.com.br,31380572,"PROPAGANDA ORIGINAL DE TURISMO  SAN FRANCISCO /PEÇA PUBLICITÁRIA ORIGINAL DE REVISTA PROMOVENDO A CIDADE DE SAN FRANCISCO, UM DOS DESTINOS TURÍSTICOS MAIS EMBLEMÁTICOS DOS ESTADOS UNIDOS /BELA ILUSTRAÇÃO COLORIDA DESTACANDO OS TRADICIONAIS CABLE CARS, SÍMBOLO DA CIDADE, COM VISTA PARA A BAÍA DE SAN FRANCISCO E A PONTE GOLDEN GATE AO FUNDO /ANÚNCIO CONVIDANDO TURISTAS A CONHECEREM AS ATRAÇÕES DA REGIÃO, INCLUINDO CHINATOWN, FISHERMAN'S WHARF, ALCATRAZ, RUSSIAN HILL E OUTROS PONTOS FAMOSOS DA CALIFÓRNIA /EXCELENTE EXEMPLO DA PUBLICIDADE TURÍSTICA NORTE-AMERICANA DO PÓS-GUERRA, PERÍODO DE GRANDE EXPANSÃO DAS VIAGENS E DO TURISMO INTERNACIONAL /ITEM MUITO INTERESSANTE PARA COLECIONADORES DE TURISMO, FERROVIAS URBANAS, CALIFÓRNIA, SAN FRANCISCO, PUBLICIDADE ANTIGA E MEMORABILIA INTERNACIONAL /PEÇA IDEAL PARA MOLDURA, DECORAÇÃO TEMÁTICA OU COMPOSIÇÃO DE ACERVOS SOBRE TRANSPORTES, TURISMO E HISTÓRIA DOS ESTADOS UNIDOS /DOCUMENTO ORIGINAL DE REVISTA, NÃO SENDO REPRODUÇÃO MODERNA /FORMATO 17 X 25 CM /PROPAGANDA ORIGINAL DE REVISTA /ANOS 50-60 /#SANFRANCISCO #CALIFORNIA #CABLECAR #GOLDENGATE #TURISMO #ESTADOSUNIDOS #PUBLICIDADEANTIGA #MEMORABILIA #COLECIONISMO #ANOS50 #ANOS60 #VIAGEM #HISTORIA #TRANSPORTEURBANO #AMERICANACX BROCH23",,https://tremdas7.com.br/peca.asp?Id=31380572,livro,,NONE,none,medium,8.0,0,54.0,-9.3111,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
claudiofirminoleiloeiro.com.br,31410075,"Lp Yvonne Fair, capa simples, ano 1975, edição importada (USA) capa e disco vg+",RJ,https://claudiofirminoleiloeiro.com.br/peca.asp?Id=31410075,disco_vinil,,NONE,none,small,10.0,1,75.60000000000001,-1.9,AVOID,acessório/peça avulsa (não é o móvel inteiro); comp não aplicável | base=type_comps (conservador p25)
claudiofirminoleiloeiro.com.br,31409497,"Lp O Sorriso Do Lagarto, capa simples, ano 1991, capa e disco vg+",RJ,https://claudiofirminoleiloeiro.com.br/peca.asp?Id=31409497,disco_vinil,,NONE,none,small,10.0,0,75.60000000000001,-1.9,AVOID,acessório/peça avulsa (não é o móvel inteiro); comp não aplicável | base=type_comps (conservador p25)
claudiofirminoleiloeiro.com.br,31405071,"Lp Bob Crewe, capa gatefold, ano 1977, edição importada (USA) capa com pequenos ralados e disco vg+",RJ,https://claudiofirminoleiloeiro.com.br/peca.asp?Id=31405071,disco_vinil,,NONE,none,small,10.0,0,75.60000000000001,-1.9,AVOID,acessório/peça avulsa (não é o móvel inteiro); comp não aplicável | base=type_comps (conservador p25)
filatelicasaogabriel.com.br,31517280,ESPELHO DE MÃO PEQUENO EM PLASTICO BAQUELITE COM EFEITO MARMORIZADO OU TARTARUGA NO FORMATO FLOR,MG,https://filatelicasaogabriel.com.br/peca.asp?Id=31517280,espelho,,NONE,none,large,10.0,0,630.0,-2.1139,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
leiloesvitoria.com.br,31006173,"CRISTAL OVERLAY, um (1) vaso floreiro na tonalidade azul sobre incolor, translúcido, lapidação dedão, sulcos e geométricos, fundo estrelado, apresenta diversos quebrados e colados, medindo 21,5 cm altura, vide foto.",RJ,https://leiloesvitoria.com.br/peca.asp?Id=31006173,cristal_vidro,,NONE,heavy,small,10.0,1,158.4,-15.4259,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
milcoisaseantiguidades.com.br,30892827,"MILITARIA - Cinzeiro retangular de cristal fumê transparente com o brasão da Escola de Comando e Estado- Maior do Exército Brasileiro. Associado a lembrança de formatura em décadas passadas. Med. 2,5 x 15 x 12 cm (A x C x L).",RJ,https://milcoisaseantiguidades.com.br/peca.asp?Id=30892827,cristal_vidro,,NONE,none,small,10.0,0,158.4,-0.6111,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
milcoisaseantiguidades.com.br,30892800,"Dois lotes: 1) VASP - Flute de cristal translúcido da Cristal Reynoso exibindo a marca da VASP. Base circular, haste curta e bojo alongado. Med. 14 cm (A). 2) Copo de vidro translúcido da companhia aérea brasileira, TRANSBRASIL.. Med. 9 x 6 cm (A x D).",RJ,https://milcoisaseantiguidades.com.br/peca.asp?Id=30892800,cristal_vidro,,NONE,none,small,10.0,0,158.4,-0.6111,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
bruceangeirasleiloeiro.com.br,31348713,Passarinho / vasinho em porcelana na cor verde claro. Mede 12x7cm. Lote para envio (Correio ou Jadlog) ou retirada em DRACENA - SP,RJ,https://bruceangeirasleiloeiro.com.br/peca.asp?Id=31348713,porcelana_ceramica,,NONE,none,small,10.0,0,126.0,-0.8125,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
bruceangeirasleiloeiro.com.br,31164234,"Pote / porta joias em faiança. Decorado com busto na pega. Mede 11,5x8cm. Lote para envio (Correio ou Jadlog) ou retirada em DRACENA - SP",RJ,https://bruceangeirasleiloeiro.com.br/peca.asp?Id=31164234,escultura,,NONE,none,medium,10.0,1,288.0,-1.2262,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
leilaotresmarias.com.br,31452116,Caneca Decorativa em Cerâmica Formato Bota | Vintage | Porta-Lápis ou Cachepô,SP,https://leilaotresmarias.com.br/peca.asp?Id=31452116,porcelana_ceramica,,NONE,none,small,10.0,0,126.0,-0.8125,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
leilaotresmarias.com.br,31452105,Caneca de Chopp 17ª Schlachtfest 1998 - 60anos móveis Rudnick e Sociedade ginástico São Bento do Sul,SP,https://leilaotresmarias.com.br/peca.asp?Id=31452105,outro,,NONE,none,medium,10.0,0,59.4,-9.3889,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
mercadodaspulgasleiloes.com.br,31429507,"Compoteira com tampa em formato de maçã, em cerâmica esmaltada, decorada com motivos florais pintados à mão. Tampa com abertura e folha em relevo.Medidas: 15 cm diâmetro x 7 cm altura.",RJ,https://mercadodaspulgasleiloes.com.br/peca.asp?Id=31429507,porcelana_ceramica,,NONE,none,small,10.0,1,126.0,-0.8125,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
mozartleiloeiro.com.br,31400703,"Sino de mesa em porcelana, esmaltada a mão. Adornada com flores e folhagens em policromia. Pega em metal amarelo, decorado com florão e cabo curvado. Alt. 14cm.",RJ,https://mozartleiloeiro.com.br/peca.asp?Id=31400703,mesa,,NONE,none,large,10.0,1,253.8,-4.1898,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
